CODE,DATACOUNT,SHOWTIP,COUN_ID,DIFFVALUE,month,STATVALUE,industry_class,TOWN_ID,TOWN_NA,year,SUM,ITEMCOUNT,COUN_NA,api_type
,492,True,66000,,4,744008.44,,6601300,沙鹿區,102,744008.44,492,臺中市,PItemStatistics
,190,True,66000,,4,199119.47,,6602900,和平區,102,199119.47,190,臺中市,PItemStatistics
,513,True,66000,,4,873601.5,,6600200,東區,102,873601.5,513,臺中市,PItemStatistics
,396,True,66000,,4,572844.08,,6601000,東勢區,102,572844.08,396,臺中市,PItemStatistics
,1016,True,66000,,4,1334210.51,,6600700,南屯區,102,1334210.51,1016,臺中市,PItemStatistics
,621,True,66000,,4,579362,,6600300,南區,102,579362,621,臺中市,PItemStatistics
,443,True,66000,,4,1055594,,6602300,烏日區,102,1055594,443,臺中市,PItemStatistics
,427,True,66000,,4,857291,,6601600,神岡區,102,857291,427,臺中市,PItemStatistics
,373,True,66000,,4,945881.57,,6601400,梧棲區,102,945881.57,373,臺中市,PItemStatistics
,654,True,66000,,4,1024001,,6601200,清水區,102,1024001,654,臺中市,PItemStatistics
,214,True,66000,,4,367437,,6601900,新社區,102,367437,214,臺中市,PItemStatistics
,530,True,66000,,4,453554.13,,6601700,潭子區,102,453554.13,530,臺中市,PItemStatistics
,429,True,66000,,4,1100486,,6602500,龍井區,102,1100486,429,臺中市,PItemStatistics
,913,True,66000,,4,1188477,,6600900,豐原區,102,1188477,913,臺中市,PItemStatistics
,403,True,66000,,4,571233,,6602600,霧峰區,102,571233,403,臺中市,PItemStatistics
,472,True,66000,,5,663551.99,,6601100,大甲區,102,663551.99,472,臺中市,PItemStatistics
,127,True,66000,,5,509922.11,,6602200,大安區,102,509922.11,127,臺中市,PItemStatistics
,276,True,66000,,5,564673.16,,6602400,大肚區,102,564673.16,276,臺中市,PItemStatistics
,1111,True,66000,,5,987952.66,,6602800,大里區,102,987952.66,1111,臺中市,PItemStatistics
,604,True,66000,,5,571104.39,,6601800,大雅區,102,571104.39,604,臺中市,PItemStatistics
,179,True,66000,,5,202147.59,,6600100,中區,102,202147.59,179,臺中市,PItemStatistics
,905,True,66000,,5,1132863.6,,6602700,太平區,102,1132863.6,905,臺中市,PItemStatistics
,1363,True,66000,,5,1343799.43,,6600800,北屯區,102,1343799.43,1363,臺中市,PItemStatistics
,903,True,66000,,5,803004.93,,6600500,北區,102,803004.93,903,臺中市,PItemStatistics
,163,True,66000,,5,315923.02,,6602100,外埔區,102,315923.02,163,臺中市,PItemStatistics
,144,True,66000,,5,163931.29,,6602000,石岡區,102,163931.29,144,臺中市,PItemStatistics
,434,True,66000,,5,596604.9,,6601500,后里區,102,596604.9,434,臺中市,PItemStatistics
,1332,True,66000,,5,1942179.3,,6600600,西屯區,102,1942179.3,1332,臺中市,PItemStatistics
,724,True,66000,,5,537263.03,,6600400,西區,102,537263.03,724,臺中市,PItemStatistics
,468,True,66000,,5,708520.46,,6601300,沙鹿區,102,708520.46,468,臺中市,PItemStatistics
,190,True,66000,,5,191502.43,,6602900,和平區,102,191502.43,190,臺中市,PItemStatistics
,513,True,66000,,5,822678.36,,6600200,東區,102,822678.36,513,臺中市,PItemStatistics
,397,True,66000,,5,545313.74,,6601000,東勢區,102,545313.74,397,臺中市,PItemStatistics
,1016,True,66000,,5,1271386.01,,6600700,南屯區,102,1271386.01,1016,臺中市,PItemStatistics
,621,True,66000,,5,545228.97,,6600300,南區,102,545228.97,621,臺中市,PItemStatistics
,443,True,66000,,5,1006760.78,,6602300,烏日區,102,1006760.78,443,臺中市,PItemStatistics
,427,True,66000,,5,819906.46,,6601600,神岡區,102,819906.46,427,臺中市,PItemStatistics
,372,True,66000,,5,897492.2,,6601400,梧棲區,102,897492.2,372,臺中市,PItemStatistics
,656,True,66000,,5,972683.68,,6601200,清水區,102,972683.68,656,臺中市,PItemStatistics
,215,True,66000,,5,348710.85,,6601900,新社區,102,348710.85,215,臺中市,PItemStatistics
,539,True,66000,,5,433681.53,,6601700,潭子區,102,433681.53,539,臺中市,PItemStatistics
,431,True,66000,,5,1045619.37,,6602500,龍井區,102,1045619.37,431,臺中市,PItemStatistics
,913,True,66000,,5,1116632.24,,6600900,豐原區,102,1116632.24,913,臺中市,PItemStatistics
,405,True,66000,,5,545868.49,,6602600,霧峰區,102,545868.49,405,臺中市,PItemStatistics
,472,True,66000,,6,642147,,6601100,大甲區,102,642147,472,臺中市,PItemStatistics
,127,True,66000,,6,493473,,6602200,大安區,102,493473,127,臺中市,PItemStatistics
,277,True,66000,,6,546496,,6602400,大肚區,102,546496,277,臺中市,PItemStatistics
,1111,True,66000,,6,956084,,6602800,大里區,102,956084,1111,臺中市,PItemStatistics
,604,True,66000,,6,552705,,6601800,大雅區,102,552705,604,臺中市,PItemStatistics
,179,True,66000,,6,195627,,6600100,中區,102,195627,179,臺中市,PItemStatistics
,908,True,66000,,6,1096321.14,,6602700,太平區,102,1096321.14,908,臺中市,PItemStatistics
,1365,True,66000,,6,1300723.53,,6600800,北屯區,102,1300723.53,1365,臺中市,PItemStatistics
,903,True,66000,,6,777103,,6600500,北區,102,777103,903,臺中市,PItemStatistics
,163,True,66000,,6,305732,,6602100,外埔區,102,305732,163,臺中市,PItemStatistics
,144,True,66000,,6,158687,,6602000,石岡區,102,158687,144,臺中市,PItemStatistics
,434,True,66000,,6,577411,,6601500,后里區,102,577411,434,臺中市,PItemStatistics
,1333,True,66000,,6,1879530,,6600600,西屯區,102,1879530,1333,臺中市,PItemStatistics
,724,True,66000,,6,519933,,6600400,西區,102,519933,724,臺中市,PItemStatistics
,468,True,66000,,6,685725,,6601300,沙鹿區,102,685725,468,臺中市,PItemStatistics
,190,True,66000,,6,185325,,6602900,和平區,102,185325,190,臺中市,PItemStatistics
,514,True,66000,,6,796141,,6600200,東區,102,796141,514,臺中市,PItemStatistics
,397,True,66000,,6,527844,,6601000,東勢區,102,527844,397,臺中市,PItemStatistics
,1016,True,66000,,6,1230375,,6600700,南屯區,102,1230375,1016,臺中市,PItemStatistics
,621,True,66000,,6,527642,,6600300,南區,102,527642,621,臺中市,PItemStatistics
,443,True,66000,,6,974285,,6602300,烏日區,102,974285,443,臺中市,PItemStatistics
,427,True,66000,,6,793458,,6601600,神岡區,102,793458,427,臺中市,PItemStatistics
,372,True,66000,,6,868541,,6601400,梧棲區,102,868541,372,臺中市,PItemStatistics
,656,True,66000,,6,941307,,6601200,清水區,102,941307,656,臺中市,PItemStatistics
,215,True,66000,,6,337479,,6601900,新社區,102,337479,215,臺中市,PItemStatistics
,539,True,66000,,6,419664.8,,6601700,潭子區,102,419664.8,539,臺中市,PItemStatistics
,431,True,66000,,6,1011993,,6602500,龍井區,102,1011993,431,臺中市,PItemStatistics
,913,True,66000,,6,1077369.6,,6600900,豐原區,102,1077369.6,913,臺中市,PItemStatistics
,408,True,66000,,6,528260,,6602600,霧峰區,102,528260,408,臺中市,PItemStatistics
,473,True,66000,,7,666621.42,,6601100,大甲區,102,666621.42,473,臺中市,PItemStatistics
,127,True,66000,,7,514572.11,,6602200,大安區,102,514572.11,127,臺中市,PItemStatistics
,277,True,66000,,7,557854.19,,6602400,大肚區,102,557854.19,277,臺中市,PItemStatistics
,1113,True,66000,,7,991649.91,,6602800,大里區,102,991649.91,1113,臺中市,PItemStatistics
,604,True,66000,,7,577140.46,,6601800,大雅區,102,577140.46,604,臺中市,PItemStatistics
,179,True,66000,,7,202204.42,,6600100,中區,102,202204.42,179,臺中市,PItemStatistics
,908,True,66000,,7,1133098.15,,6602700,太平區,102,1133098.15,908,臺中市,PItemStatistics
,1366,True,66000,,7,1344194.45,,6600800,北屯區,102,1344194.45,1366,臺中市,PItemStatistics
,903,True,66000,,7,803400.69,,6600500,北區,102,803400.69,903,臺中市,PItemStatistics
,163,True,66000,,7,317419.29,,6602100,外埔區,102,317419.29,163,臺中市,PItemStatistics
,145,True,66000,,7,163170.85,,6602000,石岡區,102,163170.85,145,臺中市,PItemStatistics
,434,True,66000,,7,571900.84,,6601500,后里區,102,571900.84,434,臺中市,PItemStatistics
,1335,True,66000,,7,1943980.96,,6600600,西屯區,102,1943980.96,1335,臺中市,PItemStatistics
,724,True,66000,,7,537303.33,,6600400,西區,102,537303.33,724,臺中市,PItemStatistics
,468,True,66000,,7,708582.46,,6601300,沙鹿區,102,708582.46,468,臺中市,PItemStatistics
,190,True,66000,,7,196378.72,,6602900,和平區,102,196378.72,190,臺中市,PItemStatistics
,514,True,66000,,7,823082.41,,6600200,東區,102,823082.41,514,臺中市,PItemStatistics
,397,True,66000,,7,542561.88,,6601000,東勢區,102,542561.88,397,臺中市,PItemStatistics
,1020,True,66000,,7,1263258.17,,6600700,南屯區,102,1263258.17,1020,臺中市,PItemStatistics
,622,True,66000,,7,546663.24,,6600300,南區,102,546663.24,622,臺中市,PItemStatistics
,443,True,66000,,7,1007128.64,,6602300,烏日區,102,1007128.64,443,臺中市,PItemStatistics
,428,True,66000,,7,794655.13,,6601600,神岡區,102,794655.13,428,臺中市,PItemStatistics
,372,True,66000,,7,898970.91,,6601400,梧棲區,102,898970.91,372,臺中市,PItemStatistics
,656,True,66000,,7,974723.48,,6601200,清水區,102,974723.48,656,臺中市,PItemStatistics
,217,True,66000,,7,351213.37,,6601900,新社區,102,351213.37,217,臺中市,PItemStatistics
,538,True,66000,,7,434480.61,,6601700,潭子區,102,434480.61,538,臺中市,PItemStatistics
,438,True,66000,,7,1045851.58,,6602500,龍井區,102,1045851.58,438,臺中市,PItemStatistics
,906,True,66000,,7,1045825.25,,6600900,豐原區,102,1045825.25,906,臺中市,PItemStatistics
,408,True,66000,,7,547562.11,,6602600,霧峰區,102,547562.11,408,臺中市,PItemStatistics
,473,True,66000,,8,666659.22,,6601100,大甲區,102,666659.22,473,臺中市,PItemStatistics
,127,True,66000,,8,514572.11,,6602200,大安區,102,514572.11,127,臺中市,PItemStatistics
,276,True,66000,,8,557854.19,,6602400,大肚區,102,557854.19,276,臺中市,PItemStatistics
,1117,True,66000,,8,1009225.74,,6602800,大里區,102,1009225.74,1117,臺中市,PItemStatistics
