CODE,DATACOUNT,industry_name,SHOWTIP,COUN_ID,DIFFVALUE,month,STATVALUE,industry_class,TOWN_ID,TOWN_NA,year,SUM,ITEMCOUNT,COUN_NA,api_type
,3,運輸、倉儲及通信業,False,66000,,1,22,G,6601100,大甲區,102,22,3,臺中市,PHighStatistics
,1,運輸、倉儲及通信業,False,66000,,1,3.4,G,6602200,大安區,102,3.4,1,臺中市,PHighStatistics
,1,運輸、倉儲及通信業,False,66000,,1,22.6,G,6602400,大肚區,102,22.6,1,臺中市,PHighStatistics
,2,運輸、倉儲及通信業,False,66000,,1,31.7,G,6602800,大里區,102,31.7,2,臺中市,PHighStatistics
,0,運輸、倉儲及通信業,False,66000,,1,,G,6601800,大雅區,102,0,,臺中市,PHighStatistics
,4,運輸、倉儲及通信業,True,66000,,1,96.4,G,6600100,中區,102,96.4,4,臺中市,PHighStatistics
,5,運輸、倉儲及通信業,True,66000,,1,64,G,6602700,太平區,102,64,5,臺中市,PHighStatistics
,2,運輸、倉儲及通信業,False,66000,,1,28.7,G,6600800,北屯區,102,28.7,2,臺中市,PHighStatistics
,5,運輸、倉儲及通信業,True,66000,,1,109.3,G,6600500,北區,102,109.3,5,臺中市,PHighStatistics
,0,運輸、倉儲及通信業,False,66000,,1,,G,6602100,外埔區,102,0,,臺中市,PHighStatistics
,1,運輸、倉儲及通信業,False,66000,,1,3.9,G,6602000,石岡區,102,3.9,1,臺中市,PHighStatistics
,4,運輸、倉儲及通信業,True,66000,,1,26.8,G,6601500,后里區,102,26.8,4,臺中市,PHighStatistics
,11,運輸、倉儲及通信業,True,66000,,1,809.2,G,6600600,西屯區,102,809.2,11,臺中市,PHighStatistics
,8,運輸、倉儲及通信業,True,66000,,1,207.5,G,6600400,西區,102,207.5,8,臺中市,PHighStatistics
,3,運輸、倉儲及通信業,False,66000,,1,44.6,G,6601300,沙鹿區,102,44.6,3,臺中市,PHighStatistics
,0,運輸、倉儲及通信業,False,66000,,1,,G,6602900,和平區,102,0,,臺中市,PHighStatistics
,4,運輸、倉儲及通信業,True,66000,,1,79.3,G,6600200,東區,102,79.3,4,臺中市,PHighStatistics
,1,運輸、倉儲及通信業,False,66000,,1,2.4,G,6601000,東勢區,102,2.4,1,臺中市,PHighStatistics
,5,運輸、倉儲及通信業,True,66000,,1,123.3,G,6600700,南屯區,102,123.3,5,臺中市,PHighStatistics
,1,運輸、倉儲及通信業,False,66000,,1,17.5,G,6600300,南區,102,17.5,1,臺中市,PHighStatistics
,5,運輸、倉儲及通信業,True,66000,,1,142.4,G,6602300,烏日區,102,142.4,5,臺中市,PHighStatistics
,0,運輸、倉儲及通信業,False,66000,,1,,G,6601600,神岡區,102,0,,臺中市,PHighStatistics
,17,運輸、倉儲及通信業,True,66000,,1,222.1,G,6601400,梧棲區,102,222.1,17,臺中市,PHighStatistics
,13,運輸、倉儲及通信業,True,66000,,1,219.9,G,6601200,清水區,102,219.9,13,臺中市,PHighStatistics
,0,運輸、倉儲及通信業,False,66000,,1,,G,6601900,新社區,102,0,,臺中市,PHighStatistics
,4,運輸、倉儲及通信業,True,66000,,1,34.8,G,6601700,潭子區,102,34.8,4,臺中市,PHighStatistics
,0,運輸、倉儲及通信業,False,66000,,1,,G,6602500,龍井區,102,0,,臺中市,PHighStatistics
,4,運輸、倉儲及通信業,True,66000,,1,242,G,6600900,豐原區,102,242,4,臺中市,PHighStatistics
,0,運輸、倉儲及通信業,False,66000,,1,,G,6602600,霧峰區,102,0,,臺中市,PHighStatistics
,1,金融、保險及不動產業,False,66000,,1,0.8,H,6601100,大甲區,102,0.8,1,臺中市,PHighStatistics
,0,金融、保險及不動產業,False,66000,,1,,H,6602200,大安區,102,0,,臺中市,PHighStatistics
,0,金融、保險及不動產業,False,66000,,1,,H,6602400,大肚區,102,0,,臺中市,PHighStatistics
,0,金融、保險及不動產業,False,66000,,1,,H,6602800,大里區,102,0,,臺中市,PHighStatistics
,1,金融、保險及不動產業,False,66000,,1,0.9,H,6601800,大雅區,102,0.9,1,臺中市,PHighStatistics
,11,金融、保險及不動產業,True,66000,,1,59.8,H,6600100,中區,102,59.8,11,臺中市,PHighStatistics
,1,金融、保險及不動產業,False,66000,,1,0.9,H,6602700,太平區,102,0.9,1,臺中市,PHighStatistics
,0,金融、保險及不動產業,False,66000,,1,,H,6600800,北屯區,102,0,,臺中市,PHighStatistics
,3,金融、保險及不動產業,False,66000,,1,18.6,H,6600500,北區,102,18.6,3,臺中市,PHighStatistics
,0,金融、保險及不動產業,False,66000,,1,,H,6602100,外埔區,102,0,,臺中市,PHighStatistics
,0,金融、保險及不動產業,False,66000,,1,,H,6602000,石岡區,102,0,,臺中市,PHighStatistics
,0,金融、保險及不動產業,False,66000,,1,,H,6601500,后里區,102,0,,臺中市,PHighStatistics
,3,金融、保險及不動產業,False,66000,,1,6.1,H,6600600,西屯區,102,6.1,3,臺中市,PHighStatistics
,10,金融、保險及不動產業,True,66000,,1,147.4,H,6600400,西區,102,147.4,10,臺中市,PHighStatistics
,1,金融、保險及不動產業,False,66000,,1,1.7,H,6601300,沙鹿區,102,1.7,1,臺中市,PHighStatistics
,0,金融、保險及不動產業,False,66000,,1,,H,6602900,和平區,102,0,,臺中市,PHighStatistics
,0,金融、保險及不動產業,False,66000,,1,,H,6600200,東區,102,0,,臺中市,PHighStatistics
,0,金融、保險及不動產業,False,66000,,1,,H,6601000,東勢區,102,0,,臺中市,PHighStatistics
,2,金融、保險及不動產業,False,66000,,1,21.1,H,6600700,南屯區,102,21.1,2,臺中市,PHighStatistics
,3,金融、保險及不動產業,False,66000,,1,22.5,H,6600300,南區,102,22.5,3,臺中市,PHighStatistics
,0,金融、保險及不動產業,False,66000,,1,,H,6602300,烏日區,102,0,,臺中市,PHighStatistics
,0,金融、保險及不動產業,False,66000,,1,,H,6601600,神岡區,102,0,,臺中市,PHighStatistics
,1,金融、保險及不動產業,False,66000,,1,2,H,6601400,梧棲區,102,2,1,臺中市,PHighStatistics
,2,金融、保險及不動產業,False,66000,,1,7.8,H,6601200,清水區,102,7.8,2,臺中市,PHighStatistics
,0,金融、保險及不動產業,False,66000,,1,,H,6601900,新社區,102,0,,臺中市,PHighStatistics
,0,金融、保險及不動產業,False,66000,,1,,H,6601700,潭子區,102,0,,臺中市,PHighStatistics
,0,金融、保險及不動產業,False,66000,,1,,H,6602500,龍井區,102,0,,臺中市,PHighStatistics
,6,金融、保險及不動產業,True,66000,,1,9.5,H,6600900,豐原區,102,9.5,6,臺中市,PHighStatistics
,0,金融、保險及不動產業,False,66000,,1,,H,6602600,霧峰區,102,0,,臺中市,PHighStatistics
,0,專業、科學及技術服務業,False,66000,,1,,I,6601100,大甲區,102,0,,臺中市,PHighStatistics
,0,專業、科學及技術服務業,False,66000,,1,,I,6602200,大安區,102,0,,臺中市,PHighStatistics
,0,專業、科學及技術服務業,False,66000,,1,,I,6602400,大肚區,102,0,,臺中市,PHighStatistics
,0,專業、科學及技術服務業,False,66000,,1,,I,6602800,大里區,102,0,,臺中市,PHighStatistics
,4,專業、科學及技術服務業,True,66000,,1,239.5,I,6601800,大雅區,102,239.5,4,臺中市,PHighStatistics
,1,專業、科學及技術服務業,False,66000,,1,12,I,6600100,中區,102,12,1,臺中市,PHighStatistics
,0,專業、科學及技術服務業,False,66000,,1,,I,6602700,太平區,102,0,,臺中市,PHighStatistics
,4,專業、科學及技術服務業,True,66000,,1,66.9,I,6600800,北屯區,102,66.9,4,臺中市,PHighStatistics
,2,專業、科學及技術服務業,False,66000,,1,16.9,I,6600500,北區,102,16.9,2,臺中市,PHighStatistics
,0,專業、科學及技術服務業,False,66000,,1,,I,6602100,外埔區,102,0,,臺中市,PHighStatistics
,0,專業、科學及技術服務業,False,66000,,1,,I,6602000,石岡區,102,0,,臺中市,PHighStatistics
,0,專業、科學及技術服務業,False,66000,,1,,I,6601500,后里區,102,0,,臺中市,PHighStatistics
,7,專業、科學及技術服務業,True,66000,,1,191.1,I,6600600,西屯區,102,191.1,7,臺中市,PHighStatistics
,1,專業、科學及技術服務業,False,66000,,1,74.1,I,6600400,西區,102,74.1,1,臺中市,PHighStatistics
,1,專業、科學及技術服務業,False,66000,,1,4.7,I,6601300,沙鹿區,102,4.7,1,臺中市,PHighStatistics
,0,專業、科學及技術服務業,False,66000,,1,,I,6602900,和平區,102,0,,臺中市,PHighStatistics
,0,專業、科學及技術服務業,False,66000,,1,,I,6600200,東區,102,0,,臺中市,PHighStatistics
,0,專業、科學及技術服務業,False,66000,,1,,I,6601000,東勢區,102,0,,臺中市,PHighStatistics
,2,專業、科學及技術服務業,False,66000,,1,145.2,I,6600700,南屯區,102,145.2,2,臺中市,PHighStatistics
,1,專業、科學及技術服務業,False,66000,,1,9.5,I,6600300,南區,102,9.5,1,臺中市,PHighStatistics
,0,專業、科學及技術服務業,False,66000,,1,,I,6602300,烏日區,102,0,,臺中市,PHighStatistics
,2,專業、科學及技術服務業,False,66000,,1,65.6,I,6601600,神岡區,102,65.6,2,臺中市,PHighStatistics
,1,專業、科學及技術服務業,False,66000,,1,3,I,6601400,梧棲區,102,3,1,臺中市,PHighStatistics
,1,專業、科學及技術服務業,False,66000,,1,1.2,I,6601200,清水區,102,1.2,1,臺中市,PHighStatistics
,0,專業、科學及技術服務業,False,66000,,1,,I,6601900,新社區,102,0,,臺中市,PHighStatistics
,2,專業、科學及技術服務業,False,66000,,1,11.8,I,6601700,潭子區,102,11.8,2,臺中市,PHighStatistics
,0,專業、科學及技術服務業,False,66000,,1,,I,6602500,龍井區,102,0,,臺中市,PHighStatistics
,1,專業、科學及技術服務業,False,66000,,1,0.6,I,6600900,豐原區,102,0.6,1,臺中市,PHighStatistics
,0,專業、科學及技術服務業,False,66000,,1,,I,6602600,霧峰區,102,0,,臺中市,PHighStatistics
,7,文化、運動、休閒及其他服務業,True,66000,,1,103.3,J,6601100,大甲區,102,103.3,7,臺中市,PHighStatistics
,0,文化、運動、休閒及其他服務業,False,66000,,1,,J,6602200,大安區,102,0,,臺中市,PHighStatistics
,1,文化、運動、休閒及其他服務業,False,66000,,1,1.7,J,6602400,大肚區,102,1.7,1,臺中市,PHighStatistics
,15,文化、運動、休閒及其他服務業,True,66000,,1,175.5,J,6602800,大里區,102,175.5,15,臺中市,PHighStatistics
,7,文化、運動、休閒及其他服務業,True,66000,,1,38.5,J,6601800,大雅區,102,38.5,7,臺中市,PHighStatistics
,25,文化、運動、休閒及其他服務業,True,66000,,1,120.1,J,6600100,中區,102,120.1,25,臺中市,PHighStatistics
